gender,age,degree,quallife,health,life,happy,income,finalter,hlthphys,hlthmntl,satsoc
Male,19,Less than High School,Good,Excellent,Routine,Pretty Happy,$8000 to $9999,Getting better,Poor,Good,Fair
Female,70,High School,Excellent,NA,NA,Very Happy,$25000 or more,Stayed the same,Very Good,Very Good,Excellent
Male,40,Graduates,Good,Fair,Routine,Pretty Happy,$25000 or more,Stayed the same,Fair,Fair,Fair
Female,59,Bachelors,Very Good,NA,NA,Not too Happy,$25000 or more,Stayed the same,Good,Fair,Good
NA,70,High School,Very Good,Excellent,Dull,Not too Happy,$25000 or more,Stayed the same,Excellent,Excellent,Very Good
Female,31,High School,Fair,Fair,Routine,Not too Happy,$25000 or more,Stayed the same,Fair,Fair,Good
Male,51,Graduates,Very Good,NA,NA,Pretty Happy,$25000 or more,Getting better,Very Good,Very Good,Very Good
Male,32,High School,Very Good,NA,NA,Pretty Happy,$25000 or more,Stayed the same,Excellent,Very Good,Very Good
NA,60,High School,Very Good,Fair,Routine,Very Happy,NA,Stayed the same,Good,Fair,Excellent
Female,27,High School,Good,Fair,Routine,Pretty Happy,$25000 or more,Getting better,Fair,Fair,Good
NA,89,Bachelors,Excellent,Good,Exciting,Very Happy,$25000 or more,Getting better,Very Good,Excellent,Excellent
Male,50,High School,Fair,Poor,Exciting,Not too Happy,$20000 to $24999,Getting worse,Fair,Excellent,Fair
NA,44,Bachelors,Excellent,Excellent,Routine,Pretty Happy,$25000 or more,Getting better,Excellent,Fair,Good
Male,85,High School,Excellent,NA,NA,Pretty Happy,$25000 or more,Stayed the same,Very Good,Excellent,Very Good
Female,33,Less than High School,Very Good,NA,NA,Very Happy,$25000 or more,Getting better,Good,Fair,Fair
Male,31,High School,Excellent,Good,Routine,Not too Happy,NA,Stayed the same,Very Good,Very Good,Very Good
Male,46,Bachelors,Excellent,NA,NA,Very Happy,NA,Getting better,Excellent,Excellent,Excellent
Female,72,Graduates,Excellent,Excellent,Exciting,Very Happy,NA,Getting better,Excellent,Excellent,Very Good
Male,50,Graduates,Very Good,Excellent,Exciting,Pretty Happy,NA,Stayed the same,Excellent,Very Good,Very Good
Female,66,Graduates,Excellent,Excellent,Exciting,Very Happy,NA,Getting better,Excellent,Excellent,Excellent
Male,35,Bachelors,Excellent,Excellent,Routine,Pretty Happy,$25000 or more,Getting better,Excellent,Very Good,Very Good
NA,35,Less than High School,Good,Fair,Routine,Pretty Happy,$15000 to $19999,Getting better,Good,Very Good,Very Good
Male,33,High School,Excellent,Excellent,Exciting,Very Happy,$25000 or more,Getting better,Excellent,Excellent,Excellent
NA,66,Less than High School,Fair,Fair,Dull,Pretty Happy,$3000 to $3999,Getting worse,Fair,Fair,Poor
NA,53,Less than High School,Excellent,NA,NA,Very Happy,$20000 to $24999,Getting worse,Very Good,Very Good,Excellent
NA,37,Bachelors,Good,Excellent,Exciting,Not too Happy,$25000 or more,Getting better,Excellent,Very Good,Very Good
Female,33,High School,Very Good,NA,NA,Pretty Happy,$25000 or more,Stayed the same,Very Good,Excellent,Very Good
NA,28,Bachelors,Very Good,Excellent,Exciting,Very Happy,$25000 or more,Getting better,Excellent,Excellent,Good
Male,30,Bachelors,Very Good,Good,Routine,Very Happy,$25000 or more,Stayed the same,Good,Very Good,Very Good
Female,37,High School,Very Good,Good,Routine,Very Happy,$25000 or more,Getting better,Very Good,Excellent,Excellent
Female,38,High School,Very Good,NA,NA,Pretty Happy,$25000 or more,Getting better,Excellent,Very Good,Good
NA,84,High School,Good,Poor,Routine,Pretty Happy,$25000 or more,Getting better,Good,Good,Fair
Female,66,Graduates,Very Good,NA,NA,Very Happy,$25000 or more,Stayed the same,Good,Very Good,Very Good
NA,29,Bachelors,Good,Fair,Routine,Very Happy,$25000 or more,Stayed the same,Good,Good,Good
Female,39,Graduates,Good,Good,Exciting,Pretty Happy,NA,Getting better,Very Good,Very Good,Very Good
Male,33,Bachelors,Excellent,NA,NA,Pretty Happy,$25000 or more,Getting better,Excellent,Excellent,Excellent
Male,68,Graduates,Good,Fair,Routine,Not too Happy,$25000 or more,Stayed the same,Good,Very Good,Fair
NA,70,Bachelors,Excellent,Good,Exciting,Very Happy,NA,Stayed the same,Very Good,Very Good,Excellent
NA,50,Bachelors,Very Good,Good,Exciting,Pretty Happy,$25000 or more,Getting worse,Good,Very Good,Very Good
NA,54,Bachelors,Excellent,Good,Routine,Pretty Happy,$25000 or more,Getting better,Very Good,Excellent,Very Good
NA,45,Bachelors,Very Good,Good,Exciting,Pretty Happy,NA,Getting better,Very Good,Very Good,Good
Male,48,High School,Very Good,Excellent,Exciting,Pretty Happy,NA,Getting better,Good,Excellent,Very Good
Female,73,Bachelors,Excellent,Good,Exciting,Very Happy,$25000 or more,Getting better,Very Good,Very Good,Very Good
NA,77,Bachelors,Very Good,Good,Routine,Very Happy,$25000 or more,Stayed the same,Very Good,Very Good,Good
Male,59,Bachelors,Very Good,Good,Exciting,Pretty Happy,$25000 or more,Getting better,Good,Good,Good
Female,72,High School,Very Good,NA,NA,Pretty Happy,$25000 or more,Getting better,Very Good,Very Good,Good
Female,68,Bachelors,Very Good,Fair,Exciting,Pretty Happy,$25000 or more,Getting worse,Fair,Very Good,Excellent
Male,60,High School,Very Good,NA,NA,Very Happy,$25000 or more,Stayed the same,Good,Very Good,Very Good
Female,63,High School,Very Good,NA,NA,Very Happy,$25000 or more,Getting better,Very Good,Very Good,Excellent
NA,45,High School,Fair,Fair,Routine,Pretty Happy,$15000 to $19999,Getting better,Fair,Good,Very Good
Male,35,High School,Very Good,Good,Exciting,Pretty Happy,NA,Getting better,Very Good,Very Good,Good
Male,22,High School,Excellent,NA,NA,Pretty Happy,$20000 to $24999,Stayed the same,Fair,Good,Very Good
NA,36,High School,Excellent,Good,Routine,Very Happy,NA,Stayed the same,Good,Very Good,Fair
Male,76,High School,Good,NA,NA,Pretty Happy,$8000 to $9999,Stayed the same,Good,Good,Fair
NA,61,High School,Very Good,Good,Routine,Pretty Happy,$25000 or more,Stayed the same,Very Good,Good,Good
Male,56,High School,Good,Fair,Routine,Pretty Happy,$25000 or more,Getting better,Fair,Good,Fair
NA,26,High School,Fair,Fair,Exciting,Pretty Happy,$3000 to $3999,Stayed the same,Fair,Excellent,Excellent
Female,59,High School,Fair,NA,NA,Not too Happy,$10000 to $14999,Stayed the same,Poor,Fair,Good
Female,55,High School,Very Good,NA,NA,Pretty Happy,$25000 or more,Getting better,Very Good,Excellent,Excellent
Female,57,Graduates,Excellent,Good,Exciting,Very Happy,$25000 or more,Stayed the same,Very Good,Excellent,Very Good
NA,59,High School,Excellent,Good,Exciting,Very Happy,NA,Getting better,Very Good,Excellent,Excellent
Male,33,High School,Excellent,Excellent,Exciting,Very Happy,$20000 to $24999,Getting better,Very Good,Excellent,Excellent
NA,75,Less than High School,Good,NA,NA,Not too Happy,Under $1000,Getting worse,Good,Good,Good
NA,61,Bachelors,Excellent,Excellent,Routine,Pretty Happy,NA,Getting better,Very Good,Excellent,Very Good
Male,39,High School,Very Good,Fair,Routine,Pretty Happy,$25000 or more,Stayed the same,Good,Good,Very Good
NA,38,High School,Good,Good,Routine,Pretty Happy,$25000 or more,Getting better,Good,Good,Good
Male,49,Graduates,Good,Good,Exciting,Not too Happy,$25000 or more,Getting better,Good,Fair,Poor
Female,71,Bachelors,Very Good,NA,NA,Pretty Happy,NA,Stayed the same,Excellent,Excellent,Very Good
NA,47,Bachelors,Good,Good,Exciting,Very Happy,$25000 or more,Getting better,Very Good,Very Good,Very Good
Female,52,High School,Very Good,Excellent,Exciting,Pretty Happy,NA,Getting better,Good,Good,Good
Male,35,Associate/Junior College,Very Good,NA,NA,Pretty Happy,$25000 or more,Getting worse,Very Good,Very Good,Very Good
Male,54,High School,Good,Poor,Exciting,Pretty Happy,$25000 or more,Stayed the same,Good,Fair,Good
NA,39,High School,Good,Fair,Exciting,Very Happy,$20000 to $24999,Getting better,Fair,Poor,Good
NA,70,Less than High School,Fair,Fair,Routine,Pretty Happy,$15000 to $19999,Stayed the same,Fair,Fair,Fair
NA,78,Less than High School,Good,Fair,Exciting,Pretty Happy,Under $1000,Getting better,Fair,Fair,Good
NA,74,Graduates,Excellent,Excellent,Exciting,Very Happy,$25000 or more,Stayed the same,Excellent,Excellent,Excellent
NA,65,Bachelors,Excellent,Excellent,Exciting,Very Happy,$25000 or more,Stayed the same,Excellent,Excellent,Excellent
Female,61,High School,Very Good,NA,NA,Pretty Happy,NA,Getting better,Excellent,Very Good,Very Good
NA,53,Bachelors,Very Good,Good,Routine,Pretty Happy,$25000 or more,Getting better,Good,Very Good,Very Good
Male,21,High School,Good,Excellent,Exciting,Not too Happy,$25000 or more,Stayed the same,Excellent,Very Good,Good
Male,41,Bachelors,Good,NA,NA,Very Happy,$25000 or more,Getting better,Excellent,Excellent,Excellent
NA,62,Associate/Junior College,Excellent,Good,Routine,Very Happy,$25000 or more,Getting better,Very Good,Very Good,Very Good
Female,71,Bachelors,Excellent,NA,NA,Very Happy,NA,Stayed the same,Excellent,Excellent,Excellent
Female,89,Bachelors,Very Good,Good,Routine,Pretty Happy,$20000 to $24999,Getting worse,Good,Good,Good
Female,66,Bachelors,Excellent,NA,NA,Pretty Happy,$25000 or more,Getting worse,Excellent,Very Good,Very Good
Female,28,Graduates,Very Good,Excellent,Exciting,Pretty Happy,$25000 or more,Stayed the same,Very Good,Very Good,Very Good
Male,85,Graduates,Very Good,NA,NA,Pretty Happy,$25000 or more,Stayed the same,Very Good,Very Good,Very Good
Female,70,High School,Excellent,NA,NA,Very Happy,$25000 or more,Getting better,Very Good,Excellent,Very Good
NA,29,Bachelors,Very Good,Good,Exciting,Pretty Happy,$25000 or more,Getting better,Very Good,Very Good,Very Good
NA,39,Bachelors,Very Good,Good,Exciting,Very Happy,$25000 or more,Stayed the same,Very Good,Very Good,Very Good
Female,28,High School,Very Good,Good,Routine,Pretty Happy,$25000 or more,Getting better,Good,Very Good,Very Good
Male,74,Bachelors,Very Good,Good,Routine,Pretty Happy,$25000 or more,Stayed the same,Very Good,Very Good,Good
Male,53,Bachelors,Very Good,NA,NA,Pretty Happy,$25000 or more,Stayed the same,Excellent,Very Good,Good
NA,66,Graduates,Excellent,Excellent,Exciting,Very Happy,$25000 or more,Getting worse,Excellent,Excellent,Excellent
Female,67,Bachelors,Very Good,NA,NA,Very Happy,NA,Getting better,Good,Very Good,Good
NA,NA,Bachelors,Excellent,NA,NA,Pretty Happy,NA,Stayed the same,Excellent,Excellent,Excellent
Male,28,Graduates,Very Good,NA,NA,Not too Happy,$25000 or more,Getting better,Very Good,Fair,Good
Male,23,Bachelors,Very Good,Excellent,Routine,Pretty Happy,$25000 or more,Getting better,Very Good,Excellent,Good
Female,37,Graduates,Very Good,NA,NA,Not too Happy,$25000 or more,Getting better,Good,Fair,Fair
Female,27,High School,Very Good,Good,Exciting,Pretty Happy,$25000 or more,Getting worse,Very Good,Excellent,Excellent
Male,32,Associate/Junior College,Good,Poor,Routine,Not too Happy,$10000 to $14999,Getting better,Poor,Good,Fair
NA,40,High School,Fair,Fair,Routine,Pretty Happy,$15000 to $19999,Stayed the same,Fair,Good,Fair
Male,22,Bachelors,Very Good,Excellent,Exciting,Very Happy,$25000 or more,Getting better,Excellent,Excellent,Excellent
Female,38,High School,Good,Fair,Routine,Pretty Happy,$15000 to $19999,Getting better,Good,Very Good,Very Good
Male,45,High School,Excellent,NA,NA,Very Happy,$25000 or more,Stayed the same,Very Good,Very Good,Very Good
NA,63,High School,Good,Fair,Routine,Not too Happy,$15000 to $19999,Getting worse,Fair,Fair,Good
Male,30,Graduates,Very Good,NA,NA,Not too Happy,$25000 or more,Stayed the same,Good,Very Good,Very Good
NA,25,High School,Good,Good,Routine,Pretty Happy,$10000 to $14999,Getting better,Good,Very Good,Good
Male,44,High School,Very Good,Fair,Routine,Pretty Happy,$25000 or more,Getting better,Good,Very Good,Very Good
NA,56,High School,Good,NA,NA,Pretty Happy,$10000 to $14999,Stayed the same,Good,Very Good,Very Good
Male,45,High School,Very Good,Good,Routine,Pretty Happy,$25000 or more,Stayed the same,Good,Very Good,Very Good
Male,27,Less than High School,Good,NA,NA,Pretty Happy,$8000 to $9999,Getting better,Good,Good,Fair
Female,53,Bachelors,Good,NA,NA,Very Happy,$25000 or more,Getting better,Good,Very Good,Very Good
Male,66,Associate/Junior College,Excellent,NA,NA,Very Happy,$25000 or more,Stayed the same,Good,Very Good,Excellent
NA,48,Bachelors,Very Good,Good,Exciting,Pretty Happy,$25000 or more,Getting better,Very Good,Very Good,Very Good
Male,50,High School,Excellent,NA,NA,Very Happy,$25000 or more,Getting better,Excellent,Excellent,Excellent
Male,18,Less than High School,Good,NA,NA,Pretty Happy,NA,Stayed the same,Good,Very Good,Very Good
Female,51,Bachelors,Excellent,Good,Exciting,Pretty Happy,$20000 to $24999,Stayed the same,Very Good,Excellent,Excellent
Male,63,High School,Very Good,NA,NA,Very Happy,$25000 or more,Stayed the same,Very Good,Very Good,Good
NA,57,High School,Excellent,Excellent,Exciting,Pretty Happy,$25000 or more,Getting better,Excellent,Excellent,Excellent
NA,68,Bachelors,Fair,NA,NA,Not too Happy,$20000 to $24999,Getting worse,Fair,Good,Good
Female,64,High School,Excellent,NA,NA,Very Happy,$25000 or more,Getting better,Excellent,Excellent,Excellent
NA,26,High School,Good,Excellent,Exciting,Pretty Happy,$25000 or more,Stayed the same,Very Good,Good,Good
Male,58,Associate/Junior College,Very Good,Good,Routine,Very Happy,NA,Stayed the same,Very Good,Very Good,Very Good
Male,53,Graduates,Excellent,NA,NA,Pretty Happy,NA,Getting better,Very Good,Very Good,Good
Female,28,High School,Very Good,NA,NA,Very Happy,$15000 to $19999,Stayed the same,Good,Good,Good
NA,30,Less than High School,Very Good,Poor,Dull,Pretty Happy,$25000 or more,Getting better,Very Good,Fair,Very Good
Female,53,Associate/Junior College,Very Good,NA,NA,Very Happy,$25000 or more,Stayed the same,Good,Very Good,Very Good
Female,56,High School,Very Good,NA,NA,Pretty Happy,$25000 or more,Getting better,Good,Good,Good
NA,20,High School,Good,Good,Routine,Pretty Happy,$8000 to $9999,Stayed the same,Good,Good,Fair
Male,64,Bachelors,Very Good,NA,NA,Very Happy,NA,Getting worse,Very Good,Very Good,Very Good
NA,40,High School,Fair,Poor,Routine,Pretty Happy,$25000 or more,Stayed the same,Fair,Fair,Fair
Male,64,High School,Good,NA,NA,Very Happy,$25000 or more,Getting better,Fair,Fair,Good
NA,39,High School,Very Good,Good,Routine,Very Happy,$25000 or more,Getting better,Good,Very Good,Very Good
Male,42,Less than High School,Excellent,Good,Exciting,Pretty Happy,$6000 to $6999,Getting better,Very Good,Very Good,Very Good
NA,22,Less than High School,Good,Good,Exciting,Pretty Happy,NA,Getting better,Good,Good,Very Good
NA,51,Less than High School,Fair,Good,Exciting,Not too Happy,$15000 to $19999,Stayed the same,Fair,Fair,Fair
Male,40,Less than High School,Excellent,Good,Routine,Not too Happy,$25000 or more,Stayed the same,Excellent,Excellent,Excellent
NA,40,Less than High School,Fair,Good,Exciting,Pretty Happy,$25000 or more,Stayed the same,Good,Good,Good
Male,24,High School,Very Good,NA,NA,Very Happy,$25000 or more,Getting better,Good,Excellent,Good
Male,27,Less than High School,Very Good,NA,NA,Pretty Happy,$5000 to $5999,Stayed the same,Very Good,Very Good,Very Good
Male,34,Less than High School,Good,Good,Routine,Pretty Happy,$20000 to $24999,Getting better,Good,Very Good,Very Good
Male,24,High School,Very Good,Excellent,Routine,Pretty Happy,$8000 to $9999,Stayed the same,Excellent,Excellent,Good
Male,34,High School,Very Good,NA,NA,Very Happy,$4000 to $4999,Stayed the same,Very Good,Good,Excellent
Male,44,Bachelors,Poor,Excellent,Routine,Pretty Happy,$15000 to $19999,Getting worse,Excellent,Excellent,Very Good
Male,80,High School,Very Good,NA,NA,Pretty Happy,$25000 or more,Stayed the same,Very Good,Very Good,Very Good
Male,61,Bachelors,Very Good,NA,NA,Pretty Happy,NA,Getting better,Good,Good,Good
NA,39,High School,Good,Excellent,Routine,Pretty Happy,$25000 or more,Getting worse,Excellent,Very Good,Good
Male,41,Graduates,Very Good,NA,NA,Very Happy,$25000 or more,Getting better,Very Good,Very Good,Very Good
NA,34,High School,Good,Fair,Exciting,Very Happy,$25000 or more,Getting better,Fair,Good,Very Good
NA,70,Graduates,Excellent,Excellent,Exciting,Pretty Happy,NA,NA,Excellent,Excellent,Excellent
Male,49,High School,Very Good,Good,Exciting,Pretty Happy,$25000 or more,Stayed the same,Very Good,Excellent,Good
Male,59,Graduates,Very Good,NA,NA,Pretty Happy,NA,Getting better,Excellent,Excellent,Very Good
Male,31,Graduates,Very Good,Good,Exciting,Not too Happy,$25000 or more,Getting better,Very Good,Very Good,Fair
NA,77,Bachelors,Very Good,Good,Routine,Pretty Happy,$25000 or more,Stayed the same,Very Good,Very Good,Very Good
NA,40,Bachelors,Very Good,Excellent,Exciting,Pretty Happy,NA,Getting worse,Excellent,Excellent,Very Good
NA,53,Graduates,Excellent,Good,Exciting,Very Happy,NA,Stayed the same,Good,Good,Good
Male,29,High School,Very Good,NA,NA,Pretty Happy,$15000 to $19999,Getting better,Very Good,Excellent,Very Good
Male,39,High School,Excellent,Excellent,Exciting,Pretty Happy,$25000 or more,Getting better,Excellent,Very Good,Very Good
Male,27,High School,Very Good,NA,NA,Pretty Happy,$25000 or more,Stayed the same,Very Good,Excellent,Good
NA,62,Graduates,Good,Good,Routine,Pretty Happy,$25000 or more,Stayed the same,Good,Good,Good
NA,48,High School,Very Good,Fair,Routine,Pretty Happy,$10000 to $14999,Stayed the same,Good,Good,Good
Male,28,High School,Good,NA,NA,Pretty Happy,$25000 or more,Getting better,Good,Good,Good
NA,47,High School,Excellent,Good,Exciting,Very Happy,$10000 to $14999,Stayed the same,Very Good,Excellent,Very Good
Male,42,High School,Good,NA,NA,Very Happy,$25000 or more,Getting better,Very Good,Good,Very Good
Male,38,High School,Very Good,NA,NA,Pretty Happy,$25000 or more,Stayed the same,Very Good,Very Good,Very Good
NA,53,Bachelors,Excellent,Good,Exciting,Very Happy,$25000 or more,Getting better,Good,Very Good,Very Good
NA,40,High School,Very Good,Excellent,Exciting,Very Happy,$25000 or more,Stayed the same,Excellent,Very Good,Very Good
Female,57,Associate/Junior College,Excellent,NA,NA,Very Happy,NA,Getting better,Very Good,Excellent,Excellent
NA,51,High School,Good,Good,Exciting,Very Happy,$25000 or more,Getting better,Good,Excellent,Excellent
Male,60,Associate/Junior College,Good,Fair,Exciting,Pretty Happy,$10000 to $14999,Stayed the same,Fair,Good,Good
Male,55,Graduates,Excellent,NA,NA,Pretty Happy,$25000 or more,Getting better,Excellent,Excellent,Excellent
NA,40,High School,Excellent,Good,Exciting,Very Happy,$25000 or more,Getting worse,Very Good,Very Good,Very Good
Female,25,Less than High School,Excellent,NA,NA,Pretty Happy,NA,Getting better,Excellent,Excellent,Very Good
Male,19,Less than High School,Fair,NA,NA,Very Happy,$15000 to $19999,Getting better,Good,Good,Good
NA,46,Less than High School,Fair,Fair,NA,Not too Happy,$20000 to $24999,Getting better,Fair,Fair,Fair
NA,60,Less than High School,Fair,NA,NA,Pretty Happy,$10000 to $14999,Stayed the same,Poor,Fair,Poor
NA,22,High School,Fair,Good,Exciting,Pretty Happy,$4000 to $4999,Getting better,Good,Good,Good
NA,29,Graduates,Good,Good,Exciting,Very Happy,$25000 or more,Getting better,Good,Very Good,Very Good
Female,28,Bachelors,Very Good,Good,Exciting,Not too Happy,$25000 or more,Getting better,Very Good,Very Good,Very Good
Male,36,High School,Excellent,NA,NA,Pretty Happy,$10000 to $14999,Stayed the same,Excellent,Excellent,Very Good
Male,29,Bachelors,Excellent,Excellent,Exciting,Very Happy,$25000 or more,Getting better,Very Good,Very Good,Very Good
Male,40,High School,Very Good,NA,NA,Pretty Happy,$25000 or more,Getting better,Good,Very Good,Excellent
Female,47,High School,Very Good,Excellent,Exciting,Very Happy,$25000 or more,Getting better,Excellent,Excellent,Excellent
NA,NA,High School,Good,NA,NA,Pretty Happy,$25000 or more,Getting better,Good,Good,Good
NA,51,High School,Good,Good,Routine,Pretty Happy,$25000 or more,Stayed the same,Good,Good,Very Good
Female,63,High School,Good,Good,Routine,Not too Happy,$15000 to $19999,NA,Good,Fair,Good
NA,33,High School,Very Good,Excellent,Exciting,Pretty Happy,$25000 or more,Getting better,Excellent,Excellent,Very Good
NA,47,High School,NA,Fair,Routine,Pretty Happy,$25000 or more,Getting worse,NA,NA,NA
NA,26,High School,Excellent,Good,Routine,Pretty Happy,$25000 or more,Getting better,Very Good,Fair,Very Good
NA,68,Bachelors,Excellent,Excellent,Exciting,Very Happy,$25000 or more,Getting better,Excellent,Excellent,Very Good
Male,36,Bachelors,Very Good,Good,Routine,Pretty Happy,$25000 or more,Getting better,Very Good,Very Good,Very Good
Female,34,Associate/Junior College,Excellent,NA,NA,Pretty Happy,$25000 or more,Getting better,Excellent,Excellent,Very Good
Male,30,Bachelors,Very Good,Fair,Exciting,Pretty Happy,NA,Stayed the same,Fair,Fair,Good
Male,71,High School,Very Good,NA,NA,Pretty Happy,$25000 or more,Getting better,Very Good,Good,Very Good
Male,28,High School,Very Good,Good,Exciting,Pretty Happy,$25000 or more,Getting better,Good,Good,Fair
Female,65,Bachelors,Very Good,NA,NA,Very Happy,$25000 or more,Stayed the same,Very Good,Very Good,Very Good
Female,49,High School,Excellent,Good,Exciting,Very Happy,NA,Getting better,Very Good,Excellent,Excellent
Female,32,High School,Very Good,NA,NA,Pretty Happy,$20000 to $24999,Stayed the same,Good,Excellent,Very Good
NA,21,High School,Very Good,Excellent,Routine,Pretty Happy,$4000 to $4999,Stayed the same,Good,Good,Good
NA,38,Associate/Junior College,Excellent,Good,Exciting,Very Happy,$25000 or more,Getting better,Very Good,Very Good,Very Good
Female,22,High School,Very Good,Good,Routine,Pretty Happy,$25000 or more,Getting better,Very Good,Poor,Fair
NA,50,High School,Good,Good,Exciting,Pretty Happy,$25000 or more,Stayed the same,Good,Very Good,Very Good
Female,86,High School,Very Good,NA,NA,Very Happy,$10000 to $14999,Stayed the same,Very Good,Good,Fair
Male,59,High School,Good,NA,NA,Not too Happy,$25000 or more,Getting worse,Good,Excellent,Very Good
NA,28,Associate/Junior College,Fair,Fair,Routine,Not too Happy,$25000 or more,Stayed the same,Fair,Very Good,Very Good
NA,54,High School,Very Good,Good,Exciting,Pretty Happy,$25000 or more,Getting worse,Very Good,Excellent,Very Good
NA,71,Bachelors,Excellent,NA,NA,Very Happy,$25000 or more,Stayed the same,Good,Very Good,Very Good
NA,58,Associate/Junior College,Excellent,Good,Routine,Pretty Happy,$25000 or more,Getting better,Very Good,Excellent,Very Good
Male,88,Less than High School,Good,NA,NA,Pretty Happy,NA,Stayed the same,Fair,Good,Good
Female,34,High School,Very Good,Good,Exciting,Pretty Happy,$25000 or more,Stayed the same,Good,Very Good,Very Good
Male,52,High School,Fair,Fair,NA,Pretty Happy,$15000 to $19999,Getting worse,Fair,Fair,Good
NA,71,Less than High School,Excellent,Excellent,Routine,Not too Happy,NA,Getting worse,Very Good,Good,Very Good
NA,21,High School,Very Good,Fair,Routine,Pretty Happy,NA,Stayed the same,Good,Good,Fair
Female,23,High School,Excellent,Excellent,Exciting,Very Happy,$8000 to $9999,Stayed the same,Excellent,Excellent,Excellent
NA,82,High School,Fair,Fair,Exciting,Very Happy,$1000 to $2999,Stayed the same,Poor,Excellent,Poor
Female,34,High School,Fair,Excellent,Routine,Pretty Happy,$25000 or more,Getting worse,Excellent,Excellent,Very Good
Male,32,High School,Fair,NA,NA,Not too Happy,$20000 to $24999,Stayed the same,Fair,Good,Good
NA,43,Graduates,Good,Good,Exciting,Pretty Happy,$25000 or more,Getting worse,Very Good,Very Good,Very Good
NA,75,High School,Good,Fair,Routine,Pretty Happy,$25000 or more,Getting worse,Fair,Good,Fair
Female,46,High School,Good,NA,NA,Very Happy,$25000 or more,Getting better,Good,Good,Good
NA,33,High School,Good,Good,Routine,Not too Happy,$25000 or more,Stayed the same,Very Good,Very Good,Very Good
Male,79,Less than High School,Good,NA,NA,Not too Happy,$10000 to $14999,Getting better,Good,Very Good,Fair
Male,50,High School,Good,Good,Routine,Pretty Happy,NA,Getting better,Excellent,Excellent,Excellent
Male,40,Bachelors,Excellent,Good,Exciting,Very Happy,$25000 or more,Getting better,Very Good,Good,Very Good
NA,89,Less than High School,Good,Poor,Routine,Not too Happy,$3000 to $3999,Getting worse,Poor,Fair,Good
Female,65,High School,Very Good,NA,NA,Very Happy,$25000 or more,Stayed the same,Very Good,Very Good,Good
Male,69,High School,Good,Good,Exciting,Pretty Happy,$25000 or more,Stayed the same,Good,Good,Good
NA,73,High School,Good,NA,NA,Very Happy,$25000 or more,Stayed the same,Good,Very Good,Excellent
NA,53,Less than High School,Very Good,Good,Exciting,Pretty Happy,NA,Getting worse,Good,Good,Good
Male,46,Associate/Junior College,Very Good,Fair,Routine,Pretty Happy,$25000 or more,Getting worse,Fair,Good,Good
NA,56,High School,Excellent,Good,Routine,Not too Happy,$25000 or more,Getting better,Good,Very Good,Good
Female,71,High School,Excellent,NA,NA,Very Happy,$25000 or more,Getting better,Excellent,Excellent,Excellent
NA,33,High School,Excellent,Excellent,Exciting,Very Happy,$25000 or more,Stayed the same,Excellent,Excellent,Excellent
NA,68,High School,Very Good,NA,NA,Not too Happy,NA,Stayed the same,Very Good,Very Good,Very Good
NA,89,High School,Very Good,Good,Routine,Pretty Happy,$25000 or more,Stayed the same,Very Good,Very Good,Fair
NA,19,Less than High School,Good,Fair,Exciting,Not too Happy,$10000 to $14999,Stayed the same,Fair,Good,Good
Female,26,Bachelors,Fair,Excellent,Routine,Not too Happy,NA,Stayed the same,Very Good,Good,Good
NA,28,Graduates,Excellent,Excellent,Exciting,Very Happy,$25000 or more,Getting better,Excellent,Excellent,Very Good
Female,70,High School,Fair,Fair,Routine,Not too Happy,$7000 to $7999,Stayed the same,Fair,Fair,Fair
Male,38,Less than High School,Very Good,Good,NA,Not too Happy,$25000 or more,Stayed the same,Good,Good,Good
Female,39,Graduates,Very Good,Excellent,Exciting,Very Happy,NA,Getting better,Excellent,Excellent,Very Good
Female,19,High School,Very Good,Good,Exciting,Pretty Happy,$25000 or more,Stayed the same,Very Good,Very Good,Very Good
Female,45,Graduates,Very Good,NA,NA,Pretty Happy,NA,Getting better,Fair,Very Good,Good
NA,47,Graduates,Excellent,Excellent,Exciting,Very Happy,NA,Getting better,Excellent,Excellent,Excellent
NA,46,Graduates,Very Good,Excellent,Routine,Very Happy,$25000 or more,Getting better,Excellent,Very Good,Very Good
Male,19,Less than High School,Very Good,Excellent,Exciting,Pretty Happy,$25000 or more,Stayed the same,Excellent,Excellent,Good
Male,48,Bachelors,Very Good,NA,NA,Pretty Happy,$25000 or more,Stayed the same,Very Good,Very Good,Very Good
Male,38,High School,Excellent,Good,Routine,Very Happy,NA,Getting better,Excellent,Very Good,Very Good
Female,24,Bachelors,Very Good,Excellent,Dull,Pretty Happy,$25000 or more,Stayed the same,Excellent,Excellent,Excellent
NA,54,High School,Good,Fair,Routine,Pretty Happy,$7000 to $7999,Stayed the same,Fair,Very Good,Very Good
Female,50,Associate/Junior College,Excellent,NA,NA,Very Happy,$20000 to $24999,Getting better,Excellent,Excellent,Very Good
Female,48,High School,Very Good,NA,NA,Pretty Happy,$25000 or more,Getting better,Very Good,Very Good,Very Good
NA,25,High School,Good,Good,Routine,Pretty Happy,$20000 to $24999,Stayed the same,Very Good,Excellent,Very Good
NA,59,High School,Good,Fair,Routine,Very Happy,$25000 or more,Getting better,Very Good,Very Good,Very Good
Female,25,High School,Good,NA,NA,Pretty Happy,$25000 or more,Getting better,Good,Fair,Fair
