gender,age,degree,quallife,health,life,happy,income,finalter,hlthphys,hlthmntl,satsoc
NA,23,Less than High School,Fair,Fair,Exciting,Pretty Happy,$25000 or more,Stayed the same,Fair,Good,Good
Male,28,High School,Fair,NA,NA,Not too Happy,$7000 to $7999,Stayed the same,Poor,Good,Poor
NA,27,High School,Excellent,Fair,Exciting,Pretty Happy,$5000 to $5999,Getting better,Good,Good,Good
Male,42,Less than High School,Poor,NA,NA,Not too Happy,$25000 or more,Stayed the same,Poor,Fair,Fair
NA,41,Bachelors,Fair,Good,Routine,Pretty Happy,$25000 or more,Getting worse,Fair,Very Good,Fair
NA,64,High School,Fair,Excellent,Exciting,Pretty Happy,$25000 or more,Getting worse,Excellent,Very Good,Very Good
Female,53,Less than High School,Good,NA,NA,Pretty Happy,NA,Stayed the same,Good,Very Good,Very Good
NA,79,Graduates,Poor,Excellent,Routine,Not too Happy,$20000 to $24999,Getting worse,Very Good,Good,Poor
NA,34,High School,Fair,Fair,Routine,Pretty Happy,$25000 or more,Getting better,Poor,Good,Good
Male,59,High School,Very Good,Good,Exciting,Very Happy,$25000 or more,Getting worse,Good,Excellent,Excellent
NA,32,Graduates,Very Good,Excellent,Exciting,Pretty Happy,$25000 or more,Getting better,Excellent,Excellent,Fair
Male,33,Bachelors,Excellent,NA,NA,Very Happy,$15000 to $19999,Stayed the same,Very Good,Excellent,Good
Female,35,High School,Fair,NA,NA,Pretty Happy,$8000 to $9999,Stayed the same,Fair,Excellent,Fair
Female,37,Associate/Junior College,Fair,NA,NA,Pretty Happy,$25000 or more,Getting better,Fair,Good,Fair
NA,28,Bachelors,Very Good,Good,Exciting,Very Happy,$25000 or more,Getting better,Very Good,Good,Very Good
NA,42,Graduates,Good,Good,Routine,Pretty Happy,NA,Stayed the same,Good,Very Good,Very Good
Female,21,High School,Very Good,Fair,Exciting,Pretty Happy,$25000 or more,Getting worse,Fair,Very Good,Excellent
NA,33,Associate/Junior College,Excellent,Excellent,Routine,Very Happy,NA,Stayed the same,Excellent,Good,Good
Male,37,Bachelors,Very Good,Excellent,Routine,Very Happy,NA,Stayed the same,Excellent,Excellent,Good
NA,89,Less than High School,Very Good,NA,NA,Pretty Happy,$25000 or more,Getting worse,Very Good,Very Good,Very Good
