gender,age,degree,quallife,health,life,happy,income,confedvac,confedvacy,finalter,hlthphys,hlthmntl,satsoc,white,black,amer_indian_alaska,asian_indian,chinese,filipino,japenese,korean,vietnamese,oth_asian,native_hawaiian,guamanian_chamorro,samoan,oth_pacific_islander,oth_race,hispanic
Female,65,High School,Very Good,Excellent,NA,Pretty Happy,$25000 or more,NA,NA,Getting better,Excellent,Very Good,Very Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,26,High School,NA,Fair,Routine,Pretty Happy,$15000 to $19999,NA,NA,Getting better,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,77,High School,Excellent,Good,NA,Pretty Happy,$25000 or more,NA,A great deal,Getting better,Very Good,Excellent,Excellent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,29,High School,Very Good,Good,Routine,Not too Happy,NA,NA,NA,Getting better,Fair,Fair,Very Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,69,Associate/Junior College,Fair,Fair,Routine,Not too Happy,$25000 or more,NA,NA,Getting worse,Fair,Very Good,Fair,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,62,Bachelors,Good,Fair,NA,Pretty Happy,$20000 to $24999,NA,Only some,Getting worse,Fair,Good,Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,25,High School,Very Good,Good,Routine,Pretty Happy,$25000 or more,NA,NA,Getting better,Very Good,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,25,Associate/Junior College,Very Good,Good,Routine,Pretty Happy,$10000 to $14999,NA,NA,Getting better,Very Good,Good,Very Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,22,High School,Good,Good,NA,Not too Happy,NA,Hardly any,NA,Getting better,Good,Good,Fair,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,82,Bachelors,Very Good,Good,Exciting,Pretty Happy,$20000 to $24999,NA,NA,Getting worse,Very Good,Very Good,Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,76,High School,Very Good,Good,Routine,Pretty Happy,$25000 or more,Only some,NA,Stayed the same,Good,Very Good,Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,35,High School,Good,Good,Routine,Pretty Happy,$25000 or more,NA,Hardly any,Getting better,Good,Good,Fair,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,69,Bachelors,Very Good,Good,NA,Pretty Happy,$25000 or more,NA,A great deal,Stayed the same,Very Good,Very Good,Very Good,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,76,High School,Good,Good,Routine,Very Happy,$25000 or more,NA,NA,Getting worse,Good,Very Good,Very Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,31,High School,Excellent,Good,Exciting,Very Happy,$25000 or more,NA,NA,Getting better,Very Good,Excellent,Excellent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,50,Graduates,Excellent,Good,Exciting,Very Happy,Refused,Only some,NA,Getting better,Very Good,Very Good,Very Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,52,High School,NA,Good,Routine,Not too Happy,$25000 or more,NA,NA,Stayed the same,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,84,High School,Very Good,Fair,Exciting,Very Happy,$25000 or more,NA,NA,Stayed the same,Fair,Very Good,Very Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,41,Bachelors,Very Good,Good,Routine,Pretty Happy,$25000 or more,NA,Hardly any,Getting worse,Good,Good,Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,28,Bachelors,Very Good,Good,Routine,Very Happy,$25000 or more,Only some,NA,Getting better,Good,Good,Very Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,69,High School,Very Good,Good,Routine,Not too Happy,$25000 or more,NA,NA,Stayed the same,Good,Good,Fair,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,44,High School,NA,Fair,Routine,Pretty Happy,$10000 to $14999,NA,NA,Getting better,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,61,High School,Good,Good,NA,Pretty Happy,$25000 or more,NA,A great deal,Getting better,Good,Good,Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,40,Graduates,Excellent,Excellent,NA,Very Happy,$25000 or more,NA,A great deal,Stayed the same,Excellent,Excellent,Excellent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,75,Graduates,Very Good,Good,NA,Very Happy,$25000 or more,A great deal,NA,Getting better,Very Good,Very Good,Very Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,69,High School,Very Good,Fair,Routine,Very Happy,$25000 or more,NA,NA,Stayed the same,Good,Very Good,Very Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,63,Bachelors,Good,Good,Exciting,Pretty Happy,$25000 or more,NA,NA,Stayed the same,Very Good,Very Good,Very Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,75,High School,Good,Fair,Routine,Pretty Happy,$25000 or more,A great deal,NA,Stayed the same,Fair,Very Good,Fair,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,61,High School,Very Good,Good,NA,Not too Happy,$25000 or more,A great deal,NA,Getting better,Very Good,Good,Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,89,High School,Good,Fair,NA,Pretty Happy,$25000 or more,NA,A great deal,Getting worse,Fair,Very Good,Very Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,53,Less than High School,NA,Fair,Routine,Pretty Happy,Refused,NA,NA,Stayed the same,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
